Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration (in mins),Rating,Genre,Director,Cast,Rank
Secret,"Sep 25, 2013 - Nov 14, 2013",2013,KBS2,"Wednesday, Thursday",16,62,8.4,"Romance, Drama, Melodrama","Baek Sang Hoon, Lee Eung Bok","Ji Sung, Hwang Jung Eum, Bae Soo Bin, Lee Da Hee, Lee Deok Hwa, Jo Mi Ryung",#165
Military Prosecutor Doberman,"Feb 28, 2022 - Apr 26, 2022",2022,tvN,"Monday, Tuesday",16,65,8.4,"Action, Military, Mystery, Law",Jin Chang Gyu,"Ahn Bo Hyun, Jo Bo Ah, Oh Yeon Soo, Kim Young Min, Kim Woo Seok, Kang Mal Geum",#166
Pachinko,"Mar 25, 2022 - Apr 29, 2022",2022,Apple TV+,Friday,8,54,8.4,"Historical, Romance, Drama, Melodrama","Kogonada, Justin Chon","Kim Min Ha, Youn Yuh Jung, Jin Ha, Lee Min Ho, Jeon Yu Na, Park So Hee",#167
My Roommate Is a Gumiho,"May 26, 2021 - Jul 15, 2021",2021,"iQiyi, tvN","Wednesday, Thursday",16,70,8.4,"Comedy, Romance, Fantasy",Nam Sung Woo,"Jang Ki Yong, Lee Hye Ri, Kang Han Na, Kim Do Wan, Bae In Hyuk, Park Kyung Hye",#168
Yumi's Cells 2,"Jun 10, 2022 - Jul 22, 2022",2022,tvN,Friday,14,65,8.4,"Comedy, Romance, Life",Lee Sang Yeob,"Kim Go Eun, Park Jin Young, Ahn Bo Hyun, Lee Yoo Bi, Mi Ram, Kwon Seung Woo",#169
My Country: The New Age,"Oct 4, 2019 - Nov 23, 2019",2019,"jTBC, Netflix","Friday, Saturday",16,85,8.4,"Action, Historical, Romance, Drama",Kim Jin Won,"Yang Se Jong, Woo Do Hwan, Kim Seol Hyun, Jang Hyuk, Kim Yeong Cheol, Ahn Nae Sang",#170
Sell Your Haunted House,"Apr 14, 2021 - Jun 9, 2021",2021,KBS2,"Wednesday, Thursday",16,70,8.4,"Thriller, Mystery, Comedy, Fantasy",Park Jin Suk,"Jang Na Ra, Jung Yong Hwa, Kang Hong Suk, Kang Mal Geum, Baek Eun Hye, Ahn Kil Kang",#171
Player,"Sep 29, 2018 - Nov 11, 2018",2018,OCN,"Saturday, Sunday",14,65,8.4,"Action, Thriller, Mystery, Comedy",Go Jae Hyun,"Song Seung Heon, Krystal Jung, Lee Si Eon, Tae Won Seok, Kim Won Hae, Ahn Se Ho",#172
The Legend of the Blue Sea,"Nov 16, 2016 - Jan 25, 2017",2016,SBS,"Wednesday, Thursday",20,60,8.4,"Comedy, Romance, Drama, Fantasy",Jin Hyeok,"Lee Min Ho, Jun Ji Hyun, Lee Hee Joon, Shin  Won Ho, Shin Hye Sun, Moon So Ri",#173
Come and Hug Me,"May 16, 2018 - Jul 19, 2018",2018,MBC,"Wednesday, Thursday",32,35,8.4,"Thriller, Mystery, Romance, Melodrama",Choi Joon Bae,"Jang Ki Yong, Jin Ki Joo, Heo Joon Ho, Yoon Jong Hoon, Kim Kyung Nam, Seo Jung Yeon",#174
Partners for Justice,"May 14, 2018 - Jul 17, 2018",2018,MBC,"Monday, Tuesday",32,35,8.4,"Thriller, Mystery, Law, Medical",Noh Do Cheol,"Jung Jae Young, Jung Yoo Mi, Lee Yi Kyung, Park Eun Seok, Stephanie Lee, Joo Jin Mo",#175
Seasons of Blossom,"Sep 21, 2022 - Nov 2, 2022",2022,Wavve,Wednesday,16,25,8.4,"Comedy, Romance, Youth, Drama",Wang Hye Ryung,"Seo Ji Hoon, So Ju Yeon, Kim Min Kyu, Kang Hye Won, Yoon Hyun Soo, Oh Yu Jin",#176
The Tale of Nokdu,"Sep 30, 2019 - Nov 25, 2019",2019,KBS2,"Monday, Tuesday",32,33,8.4,"Action, Historical, Comedy, Romance","Kim Dong Hwi, Lee Hyun Jin, Kang Soo Yeon","Jang Dong Yoon, Kim So Hyun, Kang Tae Oh, Jung Joon Ho, Kim Tae Woo, Yoon Yoo Sun",#177
Psychopath Diary,"Nov 20, 2019 - Jan 9, 2020",2019,tvN,"Wednesday, Thursday",16,80,8.4,"Thriller, Mystery, Comedy, Crime",Lee Jong Jae,"Yoon Shi Yoon, Jung In Sun, Park Sung Hoon, Lee  Han Wi, Hwang Geum Byul, Kim Kyul",#178
The Beauty Inside,"Oct 1, 2018 - Nov 20, 2018",2018,jTBC,"Monday, Tuesday",16,70,8.4,"Comedy, Romance, Melodrama, Supernatural",Song Hyun Wook,"Seo Hyun Jin, Lee Min Ki, Lee Da Hee, Ahn Jae Hyun, Lee Tae Ri, Moon Ji In",#179
Tale of the Nine-Tailed,"Oct 7, 2020 - Dec 3, 2020",2020,tvN,"Wednesday, Thursday",16,70,8.4,"Thriller, Horror, Romance, Fantasy","Kang Shin Hyo, Jo Nam Hyung","Lee Dong Wook, Jo Bo Ah, Kim Bum, Kim Yong Ji, Hwang Hee, Kim Jung Nan",#180
The Good Detective,"Jul 6, 2020 - Aug 25, 2020",2020,jTBC,"Monday, Tuesday",16,70,8.4,"Action, Thriller, Mystery, Drama",Jo Nam Gook,"Son Hyun Joo, Jang Seung Jo, Lee Elijah, Oh Jung Se, Ji Seung Hyun, Son Jong Hak",#181
He Is Psychometric,"Mar 11, 2019 - Apr 30, 2019",2019,tvN,"Monday, Tuesday",16,64,8.4,"Thriller, Mystery, Romance, Supernatural",Kim Byung Soo,"Park Jin Young, Shin Ye Eun, Kim Kwon, Kim Da Som, Noh Jong Hyun, Go Yoon Jung",#182
