Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration (in mins),Rating,Genre,Director,Cast,Rank
Five Enough,"Feb 20, 2016 - Aug 21, 2016",2016,KBS2,"Saturday, Sunday",54,70,8.3,"Comedy, Romance, Drama, Melodrama",Kim Jung Gyu,"Ahn Jae Wook, So Yoo Jin, Sung Hoon, Shin Hye Sun, Shim Hyung Tak, Shim Yi Young",#227
Amanza,"Sep 1, 2020 - Nov 3, 2020",2020,Daum Kakao TV,Tuesday,10,15,8.3,"Adventure, Life, Fantasy, Melodrama",Han Ji Won,"Kim Ji Soo, Lee Seol, Oh Hyun Kyung, Yoo Seung Mok, Lee Jong Won, Shin Joo Hwan",#228
Light on Me,"Jun 29, 2021 - Aug 19, 2021",2021,Viki,"Tuesday, Thursday",16,24,8.3,"Romance, Youth, Drama",Lee Yoo Yeon,"Lee Sae On, Kang Yoo Seok, Choe Chan Yi, Go Woo Jin, Lee Ki Hyun, Yang Seo Hyun",#229
Bulgasal: Immortal Souls,"Dec 18, 2021 - Feb 6, 2022",2021,"Netflix, tvN","Saturday, Sunday",16,75,8.3,"Thriller, Mystery, Drama, Fantasy",Jang Young Woo,"Lee Jin Wook, Kwon Na Ra, Lee Joon, Gong Seung Yeon, Jung Jin Young, Kim Woo Seok",#230
Liar Game,"Oct 20, 2014 - Nov 25, 2014",2014,tvN,"Monday, Tuesday",12,63,8.3,"Thriller, Mystery, Psychological, Drama",Kim Hong Seon,"Lee Sang Yoon, Kim So Eun, Shin Sung Rok, Cha Soo Yeon, Choi Jin Ho, Choi Yoon So",#231
Tree With Deep Roots,"Oct 5, 2011 - Dec 22, 2011",2011,SBS,"Wednesday, Thursday",24,69,8.3,"Historical, Mystery, Political","Jang Tae Yoo, Shin Kyung Soo","Han Seok Kyu, Jang Hyuk, Shin Se Kyung, Jo Jin Woong, Park Hyuk Kwon, Hyun Woo",#232
49 Days,"Mar 16, 2011 - May 19, 2011",2011,SBS,"Wednesday, Thursday",20,70,8.3,"Romance, Drama, Melodrama, Supernatural","Jo Young Kwang, Park Yong Soon","Lee Yo Won, Nam Gyu Ri, Jung Il Woo, Jo Hyun Jae, Bae Soo Bin, Seo Ji Hye",#233
D-Day,"Sep 18, 2015 - Nov 21, 2015",2015,jTBC,"Friday, Saturday",20,65,8.3,"Romance, Drama, Medical",Jang Yong Woo,"Kim Young Kwang, Jung So Min, Ha Seok Jin, Lee Kyung Young, Kim Hye Eun, Yoon Joo Hee",#234
Awaken,"Nov 30, 2020 - Jan 19, 2021",2020,tvN,"Monday, Tuesday",16,70,8.3,"Thriller, Mystery, Crime, Fantasy","Jo Soo Won, Lee Soo Hyun","Namkoong Min, Kim Seol Hyun, Lee Chung Ah, Yoon Sun Woo, Yoon Gyung Ho, Kim Tae Woo",#235
Oh My Venus,"Nov 16, 2015 - Jan 5, 2016",2015,KBS2,"Monday, Tuesday",16,60,8.3,"Comedy, Law, Romance, Life","Kim Hyoung Seok, Lee Na Jung","So Ji Sub, Shin Min Ah, Jung Gyu Woon, Yoo In Young, Sung Hoon, Henry Lau",#236
Leverage,"Oct 13, 2019 - Dec 8, 2019",2019,TV Chosun,Sunday,16,60,8.3,"Action, Mystery, Comedy, Crime",Nam Ki Hoon,"Lee Dong Gun, Jeon Hye Bin, Kim Sae Ron, Kim Kwon, Yeo Hoe Hyun, Choi Ja Hye",#237
The King's Affection,"Oct 11, 2021 - Dec 14, 2021",2021,"KBS2, Netflix","Monday, Tuesday",20,70,8.3,"Historical, Romance, Drama","Song Hyun Wook, Lee Hyun Suk","Park Eun Bin, Rowoon, Nam Yoon Su, Choi Byung Chan, Bae Yoon Kyung, Jung Chae Yeon",#238
A Gentleman's Dignity,"May 26, 2012 - Aug 12, 2012",2012,SBS,"Saturday, Sunday",20,65,8.3,"Comedy, Romance, Drama, Melodrama","Kwon Hyuk Chan, Shin Woo Cheol, Kim Jung Hyun","Jang Dong Gun, Kim Ha Neul, Kim Soo Ro, Kim Min Jong, Lee Jong Hyuk, Yoon Se Ah",#239
Rookie Historian Goo Hae Ryung,"Jul 17, 2019 - Sep 26, 2019",2019,"MBC, Netflix","Wednesday, Thursday",40,35,8.3,"Historical, Comedy, Romance, Drama","Kang Il Soo, Han Hyun Hee","Shin Se Kyung, Cha Eun Woo, Lee Ji Hoon, Park Ki Woong, Lee Ye Rim, Park Ji Hyun",#240
Coffee Prince,"Jul 2, 2007 - Aug 28, 2007",2007,MBC,"Monday, Tuesday",17,60,8.3,"Food, Comedy, Romance, Drama",Lee Yoon Jung,"Gong Yoo, Yoon Eun Hye, Lee Sun Kyun, Chae Jung An, Kim Chang Wan, Kim Dong Wook",#241
Ghost,"May 30, 2012 - Aug 9, 2012",2012,SBS,"Wednesday, Thursday",20,65,8.3,"Thriller, Mystery","Kim Hyung Shik, Park Shin Woo","So Ji Sub, Lee Yun Hee, Kwak Do Won, Uhm Ki Joon, Lee Won Keun, Yoon  Ji Hye",#242
Love Playlist: Season 4,"Jun 19, 2019 - Aug 10, 2019",2019,"Naver TV Cast, vLive","Wednesday, Saturday",16,20,8.3,"Romance, Life, Youth, Drama",Yoo Hee Woon,"Lee Yoo Jin, Park Jung Woo, Park Shi An, Bae Hyun Sung, Kim Sae Ron, Kim Hyung Suk",#243
God's Quiz: Reboot,"Nov 14, 2018 - Jan 10, 2019",2018,OCN,"Wednesday, Thursday",16,65,8.3,"Mystery, Medical",Kim Jong Hyeok,"Ryu Deok Hwan, Yoon Joo Hee, Park  Hyo Joo, Park Joon Myun, Kim Ki Doo, Kim Jae Won",#244
Missing Noir M,"Mar 28, 2015 - May 30, 2015",2015,OCN,Saturday,10,70,8.3,"Thriller, Mystery, Drama",Lee Seung Young,"Kim Kang Woo, Park Hee Soon, Jo Bo Ah, Kim  Gyu Chul, Park So Hyun, Oh Soon Tae",#245
Live Up to Your Name,"Aug 12, 2017 - Oct 1, 2017",2017,tvN,"Saturday, Sunday",16,70,8.3,"Historical, Romance, Medical, Fantasy",Hong Jong Chan,"Kim Nam Gil, Kim Ah Joong, Yoo Min Kyu, Moon Ga Young, Yoon Joo Sang, Uhm Hyo Sub",#246
Queen for Seven Days,"May 31, 2017 - Aug 3, 2017",2017,KBS2,"Wednesday, Thursday",20,60,8.3,"Historical, Romance, Melodrama, Political",Lee Jung Sub,"Park Min Young, Yeon Woo Jin, Lee Dong Gun, Jang Hyun Sung, Kang Shin Il, Go Bo Gyeol",#247
Memory,"Mar 18, 2016 - May 7, 2016",2016,tvN,"Friday, Saturday",16,65,8.3,"Law, Romance, Life, Drama",Park Chan Hong,"Lee Sung Min, Kim Jee Soo, Park Jin Hee, Lee Jun Ho, Jeon Noh Min, Yoon So Hee",#248
A Korean Odyssey,"Dec 23, 2017 - Mar 4, 2018",2017,"Netflix, tvN","Saturday, Sunday",20,80,8.3,"Horror, Comedy, Romance, Fantasy","Park Hong Kyun, Kim Jung Hyun, Kim Byung Soo","Lee Seung Gi, Cha Seung Won, Oh Yeon Seo, Lee Hong Ki, Jang Gwang, Lee El",#249
Voice 4: Judgment Hour,"Jun 18, 2021 - Jul 31, 2021",2021,tvN,"Friday, Saturday",14,63,8.3,"Action, Thriller, Mystery, Crime","Shin Yong Hwi, Yoon Ra Young","Lee  Ha Na, Song Seung Heon, Son Eun Seo, Kang Seung Yoon, Baek Sung Hyun, Kim Joong Ki",#250
